Record id,Receipt number,Healthcare number,Assigned date,Discharged date,Treatment note
246549,529618400,9185064,01/01/2014,12/31/2014,Availabe on file
432590,238883108,78963162,01/01/2014,12/31/2014,Availabe on file
442820,557460022,25095693,01/01/2014,12/31/2014,Availabe on file
365233,246990423,50583258,01/01/2014,12/31/2014,Availabe on file
390554,444974699,91826372,01/01/2014,12/31/2014,Availabe on file
274862,373131702,29258700,01/01/2014,12/31/2014,Availabe on file
228176,84580321,44098930,01/01/2014,12/31/2014,Availabe on file
449285,484550914,97261402,01/01/2014,12/31/2014,Availabe on file
553838,267581059,17470374,01/01/2014,12/31/2014,Availabe on file
345558,584569857,49328306,01/01/2014,12/31/2014,Availabe on file
774309,353829285,98472850,01/01/2014,12/31/2014,Availabe on file
713487,296734967,18072331,01/01/2014,12/31/2014,Availabe on file
276742,179010062,24913944,01/01/2014,12/31/2014,Availabe on file
485344,509379398,23826535,01/01/2014,12/31/2014,Availabe on file
971607,506444705,89206124,01/01/2014,12/31/2014,Availabe on file
376327,525887900,53226657,01/01/2014,12/31/2014,Availabe on file
436286,159012018,31334226,01/01/2014,12/31/2014,Availabe on file
196456,401743483,97323278,01/01/2014,12/31/2014,Availabe on file
191852,415343289,57722962,01/01/2014,12/31/2014,Availabe on file
677997,174794414,99326083,01/01/2014,12/31/2014,Availabe on file
715380,461398698,9103584,01/01/2014,12/31/2014,Availabe on file
780981,406290297,63245364,01/01/2014,12/31/2014,Availabe on file
726530,483938981,79092900,01/01/2014,12/31/2014,Availabe on file
927925,392622893,53689997,01/01/2014,12/31/2014,Availabe on file
961131,319849058,64049918,01/01/2014,12/31/2014,Availabe on file
505801,353005171,73787939,01/01/2014,12/31/2014,Availabe on file
604790,179831919,138014,01/01/2014,12/31/2014,Availabe on file
918086,522622110,36374341,01/01/2014,12/31/2014,Availabe on file
260629,554185302,21836386,01/01/2014,12/31/2014,Availabe on file
782743,213437816,95335775,01/01/2014,12/31/2014,Availabe on file
786715,208961295,590558,01/01/2014,12/31/2014,Availabe on file
629732,496766351,66725836,01/01/2014,12/31/2014,Availabe on file
354219,366976268,21224889,01/01/2014,12/31/2014,Availabe on file
837153,99340504,14422635,01/01/2014,12/31/2014,Availabe on file
991938,220489450,47517754,01/01/2014,12/31/2014,Availabe on file
149900,314686459,50718977,01/01/2014,12/31/2014,Availabe on file
151337,15244895,72740519,01/01/2014,12/31/2014,Availabe on file
949104,75260440,5822692,01/01/2014,12/31/2014,Availabe on file
506417,446835030,81569379,01/01/2014,12/31/2014,Availabe on file
644710,110043780,92760698,01/01/2014,12/31/2014,Availabe on file
810983,421923993,81319456,01/01/2014,12/31/2014,Availabe on file
648712,107065155,79616949,01/01/2014,12/31/2014,Availabe on file
78161,364452687,607517,01/01/2014,12/31/2014,Availabe on file
995990,477949183,51777408,01/01/2014,12/31/2014,Availabe on file
567428,463389509,73342829,01/01/2014,12/31/2014,Availabe on file
552477,221182080,64900297,01/01/2014,12/31/2014,Availabe on file
893947,372140306,91790255,01/01/2014,12/31/2014,Availabe on file
123792,495628495,24246294,01/01/2014,12/31/2014,Availabe on file
832581,141222932,20354875,01/01/2014,12/31/2014,Availabe on file
465456,42000232,75924695,01/01/2014,12/31/2014,Availabe on file
934485,553233640,8843814,01/01/2014,12/31/2014,Availabe on file
681365,125806593,40939492,01/01/2014,12/31/2014,Availabe on file
662762,188975529,46414661,01/01/2014,12/31/2014,Availabe on file
459554,359060965,95704089,01/01/2014,12/31/2014,Availabe on file
273702,476968136,29145998,01/01/2014,12/31/2014,Availabe on file
60966,441338659,93555873,01/01/2014,12/31/2014,Availabe on file
326005,75295875,58206181,01/01/2014,12/31/2014,Availabe on file
497629,71804892,7595247,01/01/2014,12/31/2014,Availabe on file
117305,64724029,9460259,01/01/2014,12/31/2014,Availabe on file
742463,481711186,20650939,01/01/2014,12/31/2014,Availabe on file
21122,61515193,72542110,01/01/2014,12/31/2014,Availabe on file
986034,307061784,74508907,01/01/2014,12/31/2014,Availabe on file
91076,407013188,20735196,01/01/2014,12/31/2014,Availabe on file
630461,380837906,62508615,01/01/2014,12/31/2014,Availabe on file
44053,586560280,21287227,01/01/2014,12/31/2014,Availabe on file
879833,517004696,4108572,01/01/2014,12/31/2014,Availabe on file
678527,500892486,40070782,01/01/2014,12/31/2014,Availabe on file
251104,281554213,39611869,01/01/2014,12/31/2014,Availabe on file
286978,548086233,34165994,01/01/2014,12/31/2014,Availabe on file
530073,46959265,49708823,01/01/2014,12/31/2014,Availabe on file
758539,233285255,23682652,01/01/2014,12/31/2014,Availabe on file
242168,40741870,94934104,01/01/2014,12/31/2014,Availabe on file
537601,354245216,91836667,01/01/2014,12/31/2014,Availabe on file
18004,269486044,18442838,01/01/2014,12/31/2014,Availabe on file
73843,284487911,98217338,01/01/2014,12/31/2014,Availabe on file
825886,224533407,89727543,01/01/2014,12/31/2014,Availabe on file
446185,382453618,54816969,01/01/2014,12/31/2014,Availabe on file
534454,249398918,42286374,01/01/2014,12/31/2014,Availabe on file
452791,515092587,90446037,01/01/2014,12/31/2014,Availabe on file
290758,180556423,10043511,01/01/2014,12/31/2014,Availabe on file
634944,484090375,13062019,01/01/2014,12/31/2014,Availabe on file
25505,84756661,28398421,01/01/2014,12/31/2014,Availabe on file
362497,426408905,9951207,01/01/2014,12/31/2014,Availabe on file
989896,325344048,48510581,01/01/2014,12/31/2014,Availabe on file
96905,572716262,44627359,01/01/2014,12/31/2014,Availabe on file
98345,168837224,36755476,01/01/2014,12/31/2014,Availabe on file
276130,133648077,10714492,01/01/2014,12/31/2014,Availabe on file
766430,425182217,50026749,01/01/2014,12/31/2014,Availabe on file
559045,463353106,56237028,01/01/2014,12/31/2014,Availabe on file
83564,488205956,84919291,01/01/2014,12/31/2014,Availabe on file
574279,412612011,39967950,01/01/2014,12/31/2014,Availabe on file
604186,415112504,6402957,01/01/2014,12/31/2014,Availabe on file
519151,392300677,50282367,01/01/2014,12/31/2014,Availabe on file
384245,47166976,52891582,01/01/2014,12/31/2014,Availabe on file
396280,402721933,40710751,01/01/2014,12/31/2014,Availabe on file
165478,508429419,77283896,01/01/2014,12/31/2014,Availabe on file
403299,182561070,99339853,01/01/2014,12/31/2014,Availabe on file
603746,115899032,92030345,01/01/2014,12/31/2014,Availabe on file
137439,170899827,16744886,01/01/2014,12/31/2014,Availabe on file
826600,492892116,90094232,01/01/2014,12/31/2014,Availabe on file
870440,86669710,68515224,01/01/2014,12/31/2014,Availabe on file
342362,399857371,1487411,01/01/2014,12/31/2014,Availabe on file
125134,451509846,24712150,01/01/2014,12/31/2014,Availabe on file
288701,103375751,32845934,01/01/2014,12/31/2014,Availabe on file
558690,421462489,73613426,01/01/2014,12/31/2014,Availabe on file
445724,67559195,54877175,01/01/2014,12/31/2014,Availabe on file
383343,64777768,13415869,01/01/2014,12/31/2014,Availabe on file
538290,135951416,27139185,01/01/2014,12/31/2014,Availabe on file
291405,253090768,57903973,01/01/2014,12/31/2014,Availabe on file
853507,241159811,83079899,01/01/2014,12/31/2014,Availabe on file
770577,364281358,64724452,01/01/2014,12/31/2014,Availabe on file
251374,73939691,13206069,01/01/2014,12/31/2014,Availabe on file
215028,183715607,5266715,01/01/2014,12/31/2014,Availabe on file
356684,22125996,14022353,01/01/2014,12/31/2014,Availabe on file
321097,217636575,226327,01/01/2014,12/31/2014,Availabe on file
335422,315231900,81350135,01/01/2014,12/31/2014,Availabe on file
6551,379861598,21438551,01/01/2014,12/31/2014,Availabe on file
497356,110329717,45211206,01/01/2014,12/31/2014,Availabe on file
658301,5645039,43883461,01/01/2014,12/31/2014,Availabe on file
923104,66864489,34746999,01/01/2014,12/31/2014,Availabe on file
384555,360571875,9110480,01/01/2014,12/31/2014,Availabe on file
928853,283852555,82539783,01/01/2014,12/31/2014,Availabe on file
268854,510012053,14291168,01/01/2014,12/31/2014,Availabe on file
605965,31370606,7775636,01/01/2014,12/31/2014,Availabe on file
337837,303761898,83644496,01/01/2014,12/31/2014,Availabe on file
73757,74598529,88884795,01/01/2014,12/31/2014,Availabe on file
565136,325446870,20900922,01/01/2014,12/31/2014,Availabe on file
549455,332358484,86542860,01/01/2014,12/31/2014,Availabe on file
808444,539183349,96749239,01/01/2014,12/31/2014,Availabe on file
13118,152046702,28800022,01/01/2014,12/31/2014,Availabe on file
759676,207000500,80929429,01/01/2014,12/31/2014,Availabe on file
365454,220014513,43492327,01/01/2014,12/31/2014,Availabe on file
330286,25175596,87267709,01/01/2014,12/31/2014,Availabe on file
159509,128630607,21454558,01/01/2014,12/31/2014,Availabe on file
27132,128851866,33923004,01/01/2014,12/31/2014,Availabe on file
924030,98794662,3338006,01/01/2014,12/31/2014,Availabe on file
940210,508537886,56356869,01/01/2014,12/31/2014,Availabe on file
669331,248839748,54202364,01/01/2014,12/31/2014,Availabe on file
929333,267974889,31671261,01/01/2014,12/31/2014,Availabe on file
173879,198779123,96682618,01/01/2014,12/31/2014,Availabe on file
111316,343112307,81665269,01/01/2014,12/31/2014,Availabe on file
836676,348417427,34565672,01/01/2014,12/31/2014,Availabe on file
171296,571622311,35770186,01/01/2014,12/31/2014,Availabe on file
986746,571214383,94263176,01/01/2014,12/31/2014,Availabe on file
47649,461190203,42216114,01/01/2014,12/31/2014,Availabe on file
153229,116491281,20862139,01/01/2014,12/31/2014,Availabe on file
334013,571005220,3452339,01/01/2014,12/31/2014,Availabe on file
622503,10606394,34502511,01/01/2014,12/31/2014,Availabe on file
558468,541697548,1771846,01/01/2014,12/31/2014,Availabe on file
419240,567383830,45928943,01/01/2014,12/31/2014,Availabe on file
229769,67075828,10179958,01/01/2014,12/31/2014,Availabe on file
170497,477832838,58633775,01/01/2014,12/31/2014,Availabe on file
995545,32023624,38665416,01/01/2014,12/31/2014,Availabe on file
596718,307196893,57149123,01/01/2014,12/31/2014,Availabe on file
243195,7185587,32505381,01/01/2014,12/31/2014,Availabe on file
772778,261715717,76513016,01/01/2014,12/31/2014,Availabe on file
411601,380330951,31338064,01/01/2014,12/31/2014,Availabe on file
300524,413193665,74091374,01/01/2014,12/31/2014,Availabe on file
229314,152562335,85256378,01/01/2014,12/31/2014,Availabe on file
741193,567685765,80834207,01/01/2014,12/31/2014,Availabe on file
219397,179919130,36748133,01/01/2014,12/31/2014,Availabe on file
502102,440463674,79565417,01/01/2014,12/31/2014,Availabe on file
441427,479852471,29339071,01/01/2014,12/31/2014,Availabe on file
853872,131291428,63028765,01/01/2014,12/31/2014,Availabe on file
218407,155552329,12520675,01/01/2014,12/31/2014,Availabe on file
13380,298314000,79485424,01/01/2014,12/31/2014,Availabe on file
574104,504225878,37095017,01/01/2014,12/31/2014,Availabe on file
737652,228544548,35986814,01/01/2014,12/31/2014,Availabe on file
964646,42527612,66518902,01/01/2014,12/31/2014,Availabe on file
1150,250978125,15422599,01/01/2014,12/31/2014,Availabe on file
910308,480773288,99370665,01/01/2014,12/31/2014,Availabe on file
749496,341779070,19900628,01/01/2014,12/31/2014,Availabe on file
476027,132964976,76733007,01/01/2014,12/31/2014,Availabe on file
970499,50117027,60660027,01/01/2014,12/31/2014,Availabe on file
536996,359148059,11401827,01/01/2014,12/31/2014,Availabe on file
104762,491745055,12986967,01/01/2014,12/31/2014,Availabe on file
831481,415463250,41738489,01/01/2014,12/31/2014,Availabe on file
263507,347998626,71810979,01/01/2014,12/31/2014,Availabe on file
615440,60536434,80978559,01/01/2014,12/31/2014,Availabe on file
939450,289699489,15367332,01/01/2014,12/31/2014,Availabe on file
220332,266709775,69113242,01/01/2014,12/31/2014,Availabe on file
362176,563445328,35381596,01/01/2014,12/31/2014,Availabe on file
358054,146441022,48841412,01/01/2014,12/31/2014,Availabe on file
509279,281999289,29069432,01/01/2014,12/31/2014,Availabe on file
767212,133905621,80438612,01/01/2014,12/31/2014,Availabe on file
733191,491548720,65174590,01/01/2014,12/31/2014,Availabe on file
833147,446566929,78866091,01/01/2014,12/31/2014,Availabe on file
571446,18843055,54236906,01/01/2014,12/31/2014,Availabe on file
903115,569674303,63123311,01/01/2014,12/31/2014,Availabe on file
625368,218864733,39761040,01/01/2014,12/31/2014,Availabe on file
896929,568127644,62341651,01/01/2014,12/31/2014,Availabe on file
349203,16668525,19492517,01/01/2014,12/31/2014,Availabe on file
736473,356635498,46716813,01/01/2014,12/31/2014,Availabe on file
167584,467336468,63668928,01/01/2014,12/31/2014,Availabe on file
407416,267805895,11244959,01/01/2014,12/31/2014,Availabe on file
253199,147664996,75883564,01/01/2014,12/31/2014,Availabe on file
617678,417186965,33766083,01/01/2014,12/31/2014,Availabe on file
970480,572798191,125544,01/01/2014,12/31/2014,Availabe on file
914935,220671895,27138650,01/01/2014,12/31/2014,Availabe on file
383293,582436171,97161735,01/01/2014,12/31/2014,Availabe on file
631700,396634143,11635453,01/01/2014,12/31/2014,Availabe on file
514914,245103025,71681802,01/01/2014,12/31/2014,Availabe on file
436943,382286497,58366629,01/01/2014,12/31/2014,Availabe on file
34286,73640908,28528673,01/01/2014,12/31/2014,Availabe on file
984878,265381666,62144777,01/01/2014,12/31/2014,Availabe on file
646566,504020129,83152317,01/01/2014,12/31/2014,Availabe on file
939529,425031482,52049610,01/01/2014,12/31/2014,Availabe on file
774782,375297104,71164014,01/01/2014,12/31/2014,Availabe on file
324041,297493946,39979722,01/01/2014,12/31/2014,Availabe on file
487288,227751505,40015194,01/01/2014,12/31/2014,Availabe on file
380613,342825136,3193540,01/01/2014,12/31/2014,Availabe on file
527923,3731920,56833241,01/01/2014,12/31/2014,Availabe on file
93697,115032722,97333678,01/01/2014,12/31/2014,Availabe on file
384565,47132214,77343022,01/01/2014,12/31/2014,Availabe on file
982463,154085519,37344471,01/01/2014,12/31/2014,Availabe on file
430927,202814933,23226992,01/01/2014,12/31/2014,Availabe on file
478846,102812666,50084635,01/01/2014,12/31/2014,Availabe on file
511391,485001806,30088845,01/01/2014,12/31/2014,Availabe on file
810104,484877755,83834765,01/01/2014,12/31/2014,Availabe on file
737126,398679442,41433436,01/01/2014,12/31/2014,Availabe on file
872186,287506286,12916475,01/01/2014,12/31/2014,Availabe on file
886976,5466844,73867473,01/01/2014,12/31/2014,Availabe on file
799418,369683352,55417502,01/01/2014,12/31/2014,Availabe on file
576560,561511750,52773548,01/01/2014,12/31/2014,Availabe on file
403591,3449872,3145145,01/01/2014,12/31/2014,Availabe on file
649666,178852800,49954031,01/01/2014,12/31/2014,Availabe on file
833627,567648693,86831855,01/01/2014,12/31/2014,Availabe on file
322804,253786700,93804430,01/01/2014,12/31/2014,Availabe on file
74261,20291903,17035129,01/01/2014,12/31/2014,Availabe on file
233202,289653209,76111907,01/01/2014,12/31/2014,Availabe on file
892290,3201063,70555736,01/01/2014,12/31/2014,Availabe on file
